waterBodyID,WBID,MULakeNumber,waterBody,WATER_BODY_DNR,Distance,waterBodyLatitude,waterBodyLongitude,waterBodyDesc,countyID,countryID,ecoregionID,stateID,waterBodyTypeID,MDNRNameID,primarySLAP19,damHeightM,volumeM3,surfAreaHA,watershedAreaHA,notes,geometry
1,7177,1,Glover,Glover Spring Lake,460,38.8476,-91.8876,,,187,2,29,2,,,10.1,460088,7.8,1489,,POINT (-10228880.842216006 4699865.030984135)
2,7249,2,Pinnacle,Pinnacle Lake,732,38.8258,-91.4197,,,187,2,29,2,,,14.9,3066431,38.4,1900.1,,POINT (-10176794.452473832 4696749.545818348)
3,7004,3,Bowling Green (East),Bowling Green Reservoir,484,39.3416,-91.153,,,187,2,29,2,,yes,22.3,1739207,8.9,337,,POINT (-10147105.544279266 4770721.634060399)
4,7003,4,Bowling Green (West),Old Lake,166,39.3423,-91.1611,,,187,2,29,2,,,18.6,1303788,18.2,10.3,,POINT (-10148007.232154692 4770822.391799315)
5,7049,5,Lincoln,Lake Lincoln,575,39.0203,-90.9217,,,187,2,29,2,,yes,21,1894625,12.8,404.2,,POINT (-10121357.34605878 4724579.790675254)
6,7054,6,St. Louis,Lake St. Louis,1759,38.8011,-90.7653,,,187,2,29,2,,,14.3,7770924,159.3,14550.5,,POINT (-10103946.977698714 4693220.767893622)
7,7056,7,Kraut Run,Kraut Run Lake,1061,38.7353,-90.7619,,,187,2,29,2,,,6.7,1270484,58.6,1660.9,,POINT (-10103568.491430016 4683826.182133003)
8,7255,9,Creve Coeur,Creve Coeur Lake,532,38.7214,-90.4833,,,187,2,29,1,,,,,,,,POINT (-10072554.88129501 4681842.719250597)
9,7243,10,Northwoods,Lake Northwood,521,38.4311,-91.4814,,,187,3,29,2,,,15.2,1652863,25.8,432.3,,POINT (-10183662.865055777 4640506.067611614)
10,7241,11,Peaceful Valley,Peaceful Valley Lake,891,38.3587,-91.539,,,187,3,29,2,,,19.5,5091805,56,1246.6,,POINT (-10190074.867725471 4630222.756272511)
11,7186,12,Ben Branch,Ben Branch Lake,340,38.5676,-91.7911,,,187,3,29,2,,,15.5,832599,17.8,69.7,,POINT (-10218138.511354454 4659921.89069402)
12,7185,13,Binder,Binder Lake,907,38.6019,-92.3008,,,187,2,29,2,,,14.6,4085286,58.9,1581.2,,POINT (-10274878.055811783 4664806.532647687)
13,7307,14,Tishomingo,Lake Tishomingo,1139,38.3172,-90.6028,,,187,3,29,2,,,20.7,2930748,40.9,752.3,,POINT (-10085857.560444808 4624332.953625401)
14,7258,15,Wauwanoka,Lake Wauwanoka,825,38.2267,-90.53,,,187,3,29,2,,,18.3,2923348,29.7,530,,POINT (-10077753.501515057 4611500.605155587)
15,7622,16,Timberline,Bee Run Lake Number Three,526,37.9925,-90.5419,,,187,3,29,2,,,24.1,1335859,18.6,494.6,,POINT (-10079078.203455497 4578366.3685795395)
16,7605,17,Carmel,Lac Carmel,408,37.9264,-90.6389,,,187,3,29,2,,,19.8,1210044,21.8,266.1,,POINT (-10089876.194062445 4569033.8123322)
17,7297,18,Capri,Lac Capri,491,37.8978,-90.6275,,,187,3,29,2,,yes,29.6,3488281,41.8,223.6,,POINT (-10088607.1518674 4564998.423526578)
18,7614,19,Marseilles,Lac Marseilles,352,37.895,-90.6214,,,187,3,29,2,,,21,2343612,18.9,156.7,,POINT (-10087928.102973562 4564603.43478502)
19,7301,20,Monsanto,Monsanto Lake,274,37.8118,-90.5006,,,187,3,29,2,,,9.1,320705,10.6,229,,POINT (-10074480.708485736 4552873.473131218)
20,7265,21,Goose Creek,Goose Creek Lake,1461,37.9811,-90.3223,,,187,3,29,2,,,42.4,16999821,153.4,1815,,POINT (-10054632.443277294 4576756.220688735)
21,7267,22,Ann,Lake Anne,805,37.9527,-90.2064,,,187,3,29,2,,,14.3,1356828,36.3,1103.7,,POINT (-10041730.514294352 4572746.062413728)
22,7266,23,Wanda Lee,Lake Wanda Lee,812,37.9376,-90.235,,,187,3,29,2,,,14.3,2243700,41.2,5714.4,,POINT (-10044914.25173104 4570614.5321003385)
23,7328,24,Fredricktown City,Fredricktown City Lake,695,37.5772,-90.3092,,,187,3,29,2,,,7.3,1461674,37.5,15628.9,,POINT (-10053174.157947902 4519869.329320625)
